159,Belize,17.1899,-88.4976,0,0,0,0,0,0,0,0
160,Barbados,13.1939,-59.5432,1,65,120,28,"Globaltt, BusinessCom Networks",0,0,0
161,Saint Lucia,13.9094,-60.9789,0,0,0,0,BusinessCom Networks,0,0,0
162,Grenada,12.1165,-61.679,0,0,0,0,Hughesnet & Viasat,0,0,0
163,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,0,BusinessCom Networks,0,0,0
164,Antigua and Barbuda,17.0608,-61.7964,0,0,0,0,BusinessCom Networks,0,0,0
165,Dominica,15.415,-61.371,0,0,0,0,"Ntvsat, BusinessCom Networks",0,0,0
166,Saint Kitts and Nevis,17.3578,-62.783,0,0,0,0,BusinessCom Networks,0,0,0
167,Argentina,-38.4161,-63.6167,1,41,295,51,Amazon Kuiper & OneWeb,0,0,0
168,Bolivia,-16.2902,-63.5887,0,0,0,0,Hughesnet,0,0,0
169,Brazil,-14.235,-51.9253,0,0,0,0,Vizocom VSAT,0,0,0
170,Chile,-35.6751,-71.543,1,31,290,41,HughesNet,0,0,0
171,Colombia,4.5709,-74.2973,1,31,253,36,HughesNet,0,0,0
172,Ecuador,1.8312,-78.1834,1,85,226,35,Vizocom VSAT & HughesNet,0,0,0
173,Guyana,4.8604,-58.9302,0,0,0,0,NT vsat,0,0,0
174,Paraguay,-23.4425,-58.4438,1,45,261,43,VSAT technology,0,0,0
175,Peru,-9.19,-75.0152,1,35,262,41,Viasat & Hughesnet,0,0,0
176,Suriname,3.9193,-56.0278,0,0,0,0,VSAT technology,0,0,0
177,Uruguay,-32.5228,-55.7658,0,0,0,0,Vizocom,0,0,0
178,Venezuela,6.4238,-66.5897,0,0,0,0,Vizocom,0,0,0
